"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL258456";"";"0";"401.47";"0";"4.45";"2a";"O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1ccccc1[N+](=O)[O-]";"IC50";"'='";"51300.0";"nM";"4.29";"";"";"UO_0000065";"10.69";"0.20";"-0.16";"5.68";"False";"CHEMBL1047706";"Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308403"
"CHEMBL247473";"";"0";"595.70";"2";"5.83";"4a";"COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC";"IC50";"'='";"860.0";"nM";"6.07";"";"";"UO_0000065";"10.18";"0.19";"0.24";"6.17";"False";"CHEMBL1047707";"Inhibition of BCRP expressed in MDCK cells by pheophorbide A assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MDCK";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308370"
"CHEMBL1172081";"";"0";"316.31";"0";"2.99";"4";"COc1c(OC)c2c(=O)cc(C)oc2c2c(OC)cc(O)cc12";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1175385";"Inhibition of ABCG2-mediated drug efflux expressed in human NCI-H460 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NCI-H460";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177800";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307677"
"CHEMBL457439";"";"0";"609.68";"1";"4.69";"9";"COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc(C)cn1";"IC50";"'='";"552.0";"nM";"6.26";"";"";"UO_0000065";"10.26";"0.19";"1.57";"4.74";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL488910";"";"0";"469.58";"0";"3.64";"2, Ko143";"COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3";"IC50";"'='";"225.0";"nM";"6.65";"";"";"UO_0000065";"14.16";"0.27";"3.01";"6.60";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL1685070";"";"0";"578.52";"3";"-1.06";"25";"C[C@@H]1O[C@@H](O[C@H]2[C@H](c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1687394";"Inhibition of BCRP expressed in MCF-7 MX cells using Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681785";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3308403"
"CHEMBL396298";"ELACRIDAR";"0";"563.65";"2";"5.56";"3, GF120918";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2";"IC50";"'='";"250.0";"nM";"6.60";"";"";"UO_0000065";"11.71";"0.21";"1.04";"7.11";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL506278";"";"0";"645.72";"2";"5.54";"7";"COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2n1";"IC50";"'='";"183.0";"nM";"6.74";"";"";"UO_0000065";"10.43";"0.19";"1.20";"5.10";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL1689341";"";"0";"424.49";"1";"5.23";"2";"CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)C[C@@H](c1cc(O)cc(O)c1)O2";"IC50";"'='";"4100.0";"nM";"5.39";"";"";"UO_0000065";"12.69";"0.24";"0.16";"5.02";"False";"CHEMBL1694230";"Inhibition of ABCG2 expressed in human NCI-H460 cells assessed as inhibition of PhA accumulation after 2 to 20 hrs relative to fumitremorgin C";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NCI-H460";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687875";"1";"Scientific Literature";"J. Nat. Prod.";"2011";"CHEMBL3307677"
"CHEMBL490697";"SOPHORAFLAVANONE A";"0";"408.49";"1";"5.75";"6";"CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O";"IC50";"'='";"12300.0";"nM";"4.91";"";"";"UO_0000065";"12.02";"0.22";"-0.84";"5.64";"False";"CHEMBL1694230";"Inhibition of ABCG2 expressed in human NCI-H460 cells assessed as inhibition of PhA accumulation after 2 to 20 hrs relative to fumitremorgin C";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NCI-H460";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687875";"1";"Scientific Literature";"J. Nat. Prod.";"2011";"CHEMBL3307677"
"CHEMBL475362";"";"0";"476.53";"0";"4.86";"1b";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3[N+](=O)[O-])cc1)CC2";"IC50";"'='";"10200.0";"nM";"4.99";"";"";"UO_0000065";"10.47";"0.19";"0.13";"4.71";"False";"CHEMBL1047706";"Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308403"
"CHEMBL258456";"";"0";"401.47";"0";"4.45";"2a";"O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1ccccc1[N+](=O)[O-]";"IC50";"'='";"45700.0";"nM";"4.34";"";"";"UO_0000065";"10.81";"0.20";"-0.11";"5.75";"False";"CHEMBL1047707";"Inhibition of BCRP expressed in MDCK cells by pheophorbide A assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MDCK";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308370"
"CHEMBL599747";"";"0";"329.35";"0";"1.93";"9";"CO/C(=C\c1ccc(O)cc1)C(=O)NCC(O)c1ccc(O)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1072091";"Inhibition of ABCG2 expressed in human NCI-H460/MX20 cells assessed as accumulation of ABCG2 substrate pheophorbide-A";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"H460/MX20";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156906";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None"
"CHEMBL605795";"";"0";"469.13";"0";"4.40";"22";"CO/C(=C\c1cc(Br)c(O)c(Br)c1)C(=O)N/C=C/c1ccc(O)cc1";"IC50";"'='";"11100.0";"nM";"4.96";"";"";"UO_0000065";"10.56";"0.27";"0.55";"6.29";"False";"CHEMBL1072091";"Inhibition of ABCG2 expressed in human NCI-H460/MX20 cells assessed as accumulation of ABCG2 substrate pheophorbide-A";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"H460/MX20";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156906";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None"
"CHEMBL2158542";"";"0";"365.36";"1";"6.06";"16";"FC(F)(F)c1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1";"IC50";"'='";"250.0";"nM";"6.60";"";"";"UO_0000065";"18.07";"0.33";"0.54";"17.46";"False";"CHEMBL2162314";"Inhibition of human BCRP expressed in MDCK2 cells preincubated for 30 mins prior to Hoechst 33342 addition measured every 60 secs up to 120 mins by Hoechst 33342 accumulation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2157920";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"CHEMBL3308862"
"CHEMBL2331715";"";"0";"733.86";"2";"6.61";"30";"COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(-c3ccc(C(=O)OC)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)C2";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"8.34";"0.15";"-0.49";"5.20";"False";"CHEMBL2345054";"Inhibition of ABCG2 in human MCF7/Topo cells after 2 hrs by Hoechst 33342 microplate assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331405";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2013";"None"
"CHEMBL2331721";"";"0";"719.83";"2";"6.57";"22a, UR-COP228";"COCCOCCOCCOc1cc2c(cc1OC)CCN(Cc1ccc(-c3ccc(C(=O)OC)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)C2";"IC50";"'='";"591.0";"nM";"6.23";"";"";"UO_0000065";"8.65";"0.16";"-0.34";"5.29";"False";"CHEMBL2345054";"Inhibition of ABCG2 in human MCF7/Topo cells after 2 hrs by Hoechst 33342 microplate assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331405";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2013";"None"
"CHEMBL3805095";"";"0";"289.34";"0";"3.38";"21";"N#Cc1c2n(c3c(Nc4ccccc4)ncnc13)CCCC2";"IC50";"'='";"7680.0";"nM";"5.12";"";"";"UO_0000065";"17.68";"0.32";"1.73";"7.69";"False";"CHEMBL3807538";"Inhibition of BCRP (unknown origin) expressed in MDCK2 cells assessed as pheophorbide A accumulation preincubated for 20 mins measured after 120 mins by flow cytometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3804803";"1";"Scientific Literature";"J. Med. Chem.";"2016";"CHEMBL3308862"
"CHEMBL3805055";"";"0";"422.54";"0";"3.72";"33";"N#Cc1cn(Cc2ccccc2)c2c(N3CCN(CCc4ccccc4)CC3)ncnc12";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL3807538";"Inhibition of BCRP (unknown origin) expressed in MDCK2 cells assessed as pheophorbide A accumulation preincubated for 20 mins measured after 120 mins by flow cytometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3804803";"1";"Scientific Literature";"J. Med. Chem.";"2016";"CHEMBL3308862"
"CHEMBL1506885";"";"0";"441.54";"0";"3.52";"Reversan";"O=C(NCCCN1CCOCC1)c1cnn2c(-c3ccccc3)cc(-c3ccccc3)nc12";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL3767955";"Inhibition of ABCG2 in human MCF7/Topo cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3763047";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";"None"
"CHEMBL3763433";"";"0";"467.48";"0";"2.72";"62";"COc1cc(OC)c2c(=O)cc(C(=O)N3CCN(CCc4ccc([N+](=O)[O-])cc4)CC3)oc2c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3767955";"Inhibition of ABCG2 in human MCF7/Topo cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3763047";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";"None"
"CHEMBL36506";"NOVOBIOCIN";"4";"612.63";"2";"3.63";"Novobiocin";"CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C";"IC50";"'='";"85100.0";"nM";"4.07";"";"";"UO_0000065";"6.64";"0.13";"0.44";"2.03";"False";"CHEMBL1047706";"Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308403"
"CHEMBL474972";"";"0";"476.53";"0";"4.86";"1c";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2";"IC50";"'='";"2610.0";"nM";"5.58";"";"";"UO_0000065";"11.72";"0.22";"0.72";"5.27";"False";"CHEMBL1047707";"Inhibition of BCRP expressed in MDCK cells by pheophorbide A assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MDCK";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308370"
"CHEMBL261857";"";"0";"495.42";"1";"5.32";"23";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(Br)cc3)cc1)CC2";"IC50";"'='";"11481.54";"nM";"4.94";"";"";"UO_0000065";"9.97";"0.21";"-0.38";"9.72";"False";"CHEMBL974473";"Inhibition of ABCG2 in human mitoxantrone-resistant MCF7 cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156730";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3308403"
"CHEMBL258574";"";"0";"521.57";"1";"4.48";"18";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3[N+](=O)[O-])cc1)CC2";"IC50";"'='";"64565.42";"nM";"4.19";"";"";"UO_0000065";"8.03";"0.15";"-0.29";"3.73";"False";"CHEMBL974473";"Inhibition of ABCG2 in human mitoxantrone-resistant MCF7 cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156730";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3308403"
"CHEMBL258456";"";"0";"401.47";"0";"4.45";"8";"O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1ccccc1[N+](=O)[O-]";"IC50";"'='";"79432.82";"nM";"4.10";"";"";"UO_0000065";"10.21";"0.19";"-0.35";"5.43";"False";"CHEMBL974473";"Inhibition of ABCG2 in human mitoxantrone-resistant MCF7 cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156730";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3308403"
"CHEMBL772";"RESERPINE";"4";"608.69";"1";"4.17";"Reserpine";"COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC";"IC50";"'='";"26302.68";"nM";"4.58";"";"";"UO_0000065";"7.52";"0.14";"0.41";"3.89";"False";"CHEMBL974473";"Inhibition of ABCG2 in human mitoxantrone-resistant MCF7 cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156730";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3308403"
